problem_id,baseline,spec_NoSUT,spec_SUT,hybrid,variance
HumanEval_0,100.0,83.33333333333333,83.33333333333333,100.0,92.59259259259265
HumanEval_1,100.0,100.0,100.0,100.0,0.0
HumanEval_2,100.0,100.0,100.0,100.0,0.0
HumanEval_3,100.0,100.0,100.0,100.0,0.0
HumanEval_4,100.0,100.0,25.0,100.0,1406.25
HumanEval_5,100.0,100.0,0.0,100.0,2500.0
HumanEval_6,78.57142857142857,78.57142857142857,78.57142857142857,78.57142857142857,0.0
HumanEval_7,100.0,100.0,100.0,100.0,0.0
HumanEval_8,100.0,100.0,12.5,100.0,1914.0625
HumanEval_9,100.0,100.0,100.0,100.0,0.0
HumanEval_10,78.57142857142857,71.42857142857143,78.57142857142857,0.0,1462.5850340136055
HumanEval_11,100.0,100.0,100.0,100.0,0.0
HumanEval_12,100.0,100.0,100.0,100.0,0.0
HumanEval_13,100.0,50.0,0.0,50.0,1666.6666666666667
HumanEval_14,100.0,100.0,100.0,100.0,0.0
HumanEval_15,100.0,100.0,0.0,100.0,2500.0
HumanEval_16,0.0,0.0,0.0,0.0,0.0
HumanEval_17,100.0,100.0,100.0,100.0,0.0
HumanEval_18,80.0,90.0,90.0,90.0,25.0
HumanEval_19,83.33333333333333,95.83333333333331,95.83333333333331,95.83333333333331,39.06249999999991
HumanEval_20,83.33333333333333,83.33333333333333,8.333333333333334,83.33333333333333,1406.2499999999998
HumanEval_21,100.0,100.0,100.0,100.0,0.0
HumanEval_22,0.0,0.0,0.0,0.0,0.0
HumanEval_23,0.0,0.0,0.0,0.0,0.0
HumanEval_24,100.0,100.0,0.0,100.0,2500.0
HumanEval_25,56.25,56.25,0.0,56.25,791.015625
HumanEval_26,100.0,100.0,100.0,100.0,0.0
HumanEval_27,0.0,0.0,0.0,0.0,0.0
HumanEval_28,100.0,100.0,100.0,100.0,0.0
HumanEval_29,0.0,0.0,0.0,0.0,0.0
HumanEval_30,100.0,100.0,0.0,100.0,2500.0
HumanEval_31,100.0,100.0,9.090909090909092,100.0,2066.115702479339
HumanEval_32,34.61538461538461,0.0,34.61538461538461,0.0,399.40828402366856
HumanEval_33,100.0,100.0,0.0,100.0,2500.0
HumanEval_34,0.0,0.0,0.0,0.0,0.0
HumanEval_35,75.0,75.0,75.0,75.0,0.0
HumanEval_36,94.44444444444444,94.44444444444444,94.44444444444444,94.44444444444444,0.0
HumanEval_37,100.0,100.0,0.0,100.0,2500.0
HumanEval_38,88.88888888888889,94.44444444444444,94.44444444444444,0.0,2150.205761316872
HumanEval_39,64.51612903225806,0.0,64.51612903225806,64.51612903225806,1040.5827263267429
HumanEval_40,80.0,80.0,30.0,80.0,625.0
HumanEval_41,100.0,100.0,100.0,100.0,0.0
HumanEval_42,100.0,100.0,100.0,100.0,0.0
HumanEval_43,100.0,100.0,100.0,100.0,0.0
HumanEval_44,77.77777777777777,0.0,77.77777777777777,77.77777777777777,1512.3456790123455
HumanEval_45,100.0,100.0,0.0,100.0,2500.0
HumanEval_46,95.83333333333331,95.83333333333331,4.166666666666667,95.83333333333331,2100.694444444443
HumanEval_47,100.0,100.0,0.0,100.0,2500.0
HumanEval_48,100.0,100.0,100.0,100.0,0.0
HumanEval_49,100.0,100.0,100.0,100.0,0.0
HumanEval_50,50.0,50.0,50.0,0.0,625.0
HumanEval_51,100.0,100.0,100.0,100.0,0.0
HumanEval_52,100.0,100.0,100.0,100.0,0.0
HumanEval_53,100.0,100.0,0.0,100.0,2500.0
HumanEval_54,100.0,100.0,100.0,100.0,0.0
HumanEval_55,63.63636363636363,100.0,63.63636363636363,63.63636363636363,330.5785123966943
HumanEval_56,100.0,100.0,100.0,100.0,0.0
